,compound,create_date,negative,neutral,news_media,positive,tweets_ago
73,0.4754,2017-09-19 11:48:32+00:00,0.0,0.846,BBC,0.154,-73
74,0.8402,2017-09-19 11:47:47+00:00,0.0,0.571,BBC,0.429,-74
75,-0.6249,2017-09-19 11:40:03+00:00,0.194,0.806,BBC,0.0,-75
76,0.0,2017-09-19 11:26:01+00:00,0.0,1.0,BBC,0.0,-76
77,-0.431,2017-09-19 11:01:05+00:00,0.155,0.845,BBC,0.0,-77
78,0.0,2017-09-19 09:23:49+00:00,0.0,1.0,BBC,0.0,-78
79,0.6249,2017-09-19 09:12:08+00:00,0.0,0.806,BBC,0.194,-79
80,0.5378,2017-09-19 09:04:03+00:00,0.0,0.812,BBC,0.188,-80
81,-0.4767,2017-09-19 07:57:03+00:00,0.162,0.838,BBC,0.0,-81
82,0.0,2017-09-19 07:56:09+00:00,0.0,1.0,BBC,0.0,-82
83,0.6696,2017-09-19 07:55:50+00:00,0.0,0.8,BBC,0.2,-83
84,0.6369,2017-09-19 07:55:35+00:00,0.0,0.756,BBC,0.244,-84
85,-0.3597,2017-09-19 07:53:01+00:00,0.135,0.865,BBC,0.0,-85
86,0.7413,2017-09-19 07:40:05+00:00,0.0,0.752,BBC,0.248,-86
87,0.296,2017-09-19 07:23:04+00:00,0.0,0.872,BBC,0.128,-87
88,0.0,2017-09-19 07:01:05+00:00,0.0,1.0,BBC,0.0,-88
89,0.0,2017-09-19 06:39:11+00:00,0.0,1.0,BBC,0.0,-89
90,0.0,2017-09-18 19:32:06+00:00,0.0,1.0,BBC,0.0,-90
91,0.5411,2017-09-18 18:03:04+00:00,0.0,0.811,BBC,0.189,-91
92,0.4019,2017-09-18 17:30:07+00:00,0.0,0.856,BBC,0.144,-92
93,0.0,2017-09-18 17:03:04+00:00,0.0,1.0,BBC,0.0,-93
94,-0.7845,2017-09-18 16:37:47+00:00,0.434,0.566,BBC,0.0,-94
95,0.0,2017-09-18 16:37:03+00:00,0.0,1.0,BBC,0.0,-95
96,-0.5994,2017-09-18 16:17:03+00:00,0.196,0.804,BBC,0.0,-96
97,0.0,2017-09-18 16:16:28+00:00,0.0,1.0,BBC,0.0,-97
98,0.0,2017-09-18 16:07:14+00:00,0.0,1.0,BBC,0.0,-98
99,0.0,2017-09-18 16:01:05+00:00,0.0,1.0,BBC,0.0,-99
0,0.0,2017-09-21 01:25:27+00:00,0.0,1.0,CBS,0.0,0
1,0.8313,2017-09-20 19:58:05+00:00,0.0,0.672,CBS,0.328,-1
2,0.128,2017-09-19 22:08:16+00:00,0.0,0.914,CBS,0.086,-2
3,0.3595,2017-09-19 17:35:40+00:00,0.0,0.872,CBS,0.128,-3
4,0.7003,2017-09-18 22:54:18+00:00,0.0,0.707,CBS,0.293,-4
5,-0.296,2017-09-18 19:38:01+00:00,0.121,0.879,CBS,0.0,-5
6,0.079,2017-09-18 18:40:39+00:00,0.082,0.823,CBS,0.095,-6
7,0.872,2017-09-18 18:00:05+00:00,0.0,0.657,CBS,0.343,-7
8,0.0,2017-09-18 16:00:03+00:00,0.0,1.0,CBS,0.0,-8
9,0.0772,2017-09-18 14:00:05+00:00,0.0,0.933,CBS,0.067,-9
10,-0.1531,2017-09-18 12:30:01+00:00,0.11,0.89,CBS,0.0,-10
11,0.8805,2017-09-18 05:36:48+00:00,0.0,0.651,CBS,0.349,-11
12,0.4767,2017-09-18 05:22:46+00:00,0.0,0.829,CBS,0.171,-12
13,0.5574,2017-09-18 05:10:34+00:00,0.0,0.753,CBS,0.247,-13
14,0.0,2017-09-18 03:44:56+00:00,0.0,1.0,CBS,0.0,-14
15,0.8217,2017-09-18 03:04:27+00:00,0.0,0.442,CBS,0.558,-15
16,0.7845,2017-09-18 03:02:42+00:00,0.0,0.592,CBS,0.408,-16
17,0.7845,2017-09-18 02:57:23+00:00,0.0,0.592,CBS,0.408,-17
18,0.8807,2017-09-18 02:51:13+00:00,0.079,0.458,CBS,0.463,-18
19,0.9022,2017-09-18 02:46:01+00:00,0.0,0.519,CBS,0.481,-19
